fazla_kilo,tarih,cim,pist,grup,kgs,en_iyi_derece_farkli_hipodrom,hipodrom_key,hava_durumu,son800,en_iyi_derece,fark,gec_cikis_boy,agf1_sira,kum,kosu_kodu,cins_detay,handikap,sonuc,son6,agf1,gece,mesafe,at_adi,jokey_kodu,ganyan,agf2,yas,kilo,apranti_kilo_indirimi,cim_pist_agirlik,kum_pist_agirlik,no,at_key,jokey_adi,yaris_key,nem,sahip_adi,sahip_kodu,antrenor_adi,antrenor_kodu,yetistirici_adi,derece,sicaklik,yaris_kosu_key,saat,son20,kosmaz,at_sayisi,taki,agf2_sira,start
0,20/05/2024,,kum,3 Yaşlı İngilizler,14,false,SANLIURFA,Parçalı Bulutlu,0.53.60,1.25.85,4 Boy,,1,Normal,209860,Handikap 14,38,1,C7K2K1K2K4K2,26.96,true,1300,ÖZAY SILAŞARA,2378,"2,70",29.19,3y a  d,58.5,0,0,0,3,baffcdddcaae638c675f71a7e502944a,İSA AKYAVUZ,cf0a86890d5c1b160c74c7eca36e06fd,21,ALİ ÇİZİK,15875,MEHMET EMİN SARIDAL,2717,CEVDET AYIKÖZ,1.23.97,31,749dee90151c7a41e31e671f59e421bc,19:00,18,false,11,KG SK,1,3
0,20/05/2024,,kum,4 ve Yukarı Araplar,14,true,SANLIURFA,Parçalı Bulutlu,1.01.96,2.07.00,,20 Metre,11,Normal,209865,Handikap 16,45,8,K2K7K9K0K3K5,2.26,true,1700,MUŞFIRTINASI,2272,"22,85",2.38,4y k  a,50,1,0,0,14,10f6bd08deff342313bd59d0c00e1c6e,TOLGA YILMAZ,cf0a86890d5c1b160c74c7eca36e06fd,21,GÜNAYDIN SAÇAN,3206,VEDAT ÖNDER,2487,KUTBETTİN SAÇAN,2.06.39,31,4b54fde26d2cf6a835fc8f819225cfd5,20:00,14,false,15,KG K,11,10
0.7,18/05/2024,Normal,cim,3 Yaşlı Araplar,11,false,ANKARA,Açık,0.50.92-0.51.40,,,,7,Normal,209811,Maiden,,6,K8K4,2.58,false,1000,BEZANTAY,1289,"30,10",<nil>,3y k  e,53,4,3.3,0,1,8a9c859a56d6c62a2beac241242849f7,FURKAN HİM,e68920cc838ffed2bc91027a3185ec28,53,MEHMET GARİP BECENE,13931,SALİH BECENE,2965,ÖMER ALAK,1.06.53,22,dbb33b127076028f5fefc447857f8ec7,14:30,18,false,10,KG K DB,<nil>,10
0,16/05/2024,Çok Yumuşak,kum,3 ve Yukarı İngilizler,28,true,ANKARA,Az Bulutlu,0.53.40-0.54.68,2.09.32,"1,5  Boy",,1,Normal,209782,KV-9,87,3,K4K3K1K2K7K1,26.94,false,2000,MEMORY REMAINS,107,"2,65",29.05,4y d  a,58,0,4,0,5,10c3e55641d4ea2f06ae19c1b6fa086c,AHMET ÇELİK,ebab40e2aba54ebe3eb51b6a7605c9de,37,YÜKSEL GÖKTÜRK,9256,İSMET TEKİNALP,47,YÜKSEL GÖKTÜRK,2.11.03,17,e40a433ffe82942eb0722236a0ee71ec,16:30,20,false,9,DB,1,1
0,16/05/2024,Çok Yumuşak,kum,4 Yaşlı Araplar,9,false,ANKARA,Az Bulutlu,0.57.04-0.58.92,,"4,5 Boy",,<nil>,Normal,209784,ŞARTLI 3,63,2,K0K2K2K3C9C3,<nil>,false,2000,DEMİRYUMAK,94,"4,50",19.20,4y k k,56,0,4,0,8,fb15ae30a8e34ad6838bf759f3b9b8f6,AKIN SÖZEN,ebab40e2aba54ebe3eb51b6a7605c9de,37,HÜLYA TEMEL,10582,MEHMET ALTUNBAŞ,2403,HÜLYA TEMEL,2.24.50,17,88384fcfa5071b6e8c0191f0af297d6c,17:00,16,false,11,DB SKG SK,3,3
0,13/05/2024,Yumuşak,kum,3 Yaşlı Araplar,25,false,BURSA,Yağmurlu,0.57.84-0.57.92,,Baş,,<nil>,Nemli,209714,Maiden,,2,K3,<nil>,false,1200,KOSAVALI YİĞİT,2385,"12,05",7.93,3y a  e,57,0,3.5,0,4,f27407f05260b09c1dbd209e46b47abd,MERTCAN ÇELİK,a917d28a01ab734bfddc9e07678d2c3c,88,YUNUS KARAKOÇ,19573,FETHİ AHMET YEŞİLBUDAK,1063,ERKUT ŞAHİN,1.25.10,15,593d019a906721c20cd493f4b089691a,17:30,19,false,11,KG K,5,7
0,07/05/2024,Çok Yumuşak,cim,4 Yaşlı Araplar,11,false,ANKARA,Açık,0.54.32-0.54.96,,Boyun,,3,Normal,209588,ŞARTLI 3,63,3,K1K0K2K2K3C9,19.67,false,1900,DEMİRYUMAK,377,"3,85",<nil>,4y k k,58,0,4.1,0,2,fb15ae30a8e34ad6838bf759f3b9b8f6,ÖZCAN YILDIRIM,dfd15efe3c3400037730f91ef7e1425d,33,HÜLYA TEMEL,10582,MEHMET ALTUNBAŞ,2403,HÜLYA TEMEL,2.09.74,16,6e578ac9acc526b2c2b2b8dc75691d93,14:30,17,false,8,DB SK,<nil>,5
0,06/05/2024,,kum,3 Yaşlı İngilizler,9,false,SANLIURFA,Çok Bulutlu,0.55.68-0.56.24,1.31.03,Boyun,,<nil>,Normal,209562,ŞARTLI 3,36,2,C7K2K1K2K4,<nil>,true,1400,ÖZAY SILAŞARA,2378,"4,15",20.73,3y a  d,61,0,0,0,1,baffcdddcaae638c675f71a7e502944a,İSA AKYAVUZ,f2fd8cc246a579c36663b027d35a0b1c,51,ALİ ÇİZİK,15875,TURĞUT ÇİZİK,2859,CEVDET AYIKÖZ,1.32.81,18,9d1883550a41b3c07f6379cefa6688f2,20:30,18,false,10,KG SK,3,1
0,05/05/2024,,sentetik,4 ve Yukarı Araplar,9,false,ISTANBUL,Parçalı Bulutlu,0.55.00-0.56.20,2.25.71,,,3,Normal,209547,Handikap 16,59,10,K9K3K2K2K8K5,12.18,false,2100,ÇAĞLAYANŞELALE,94,"6,90",12.31,7y a k,58.5,0,0,0,8,f8c3558baab8a7644027ce6129770710,AKIN SÖZEN,956dd875963a8c62090115ba0b277792,64,İSRAFİL FELHAN,15833,ÖMER GÜNELİ,488,FEME HAY.TAR.LTD.ŞTİ.,2.33.71,16,4d8d8a44bd13ecde50d839f46f3cf753,15:30,17,false,10,KG K DB,3,2
2,02/05/2024,Çok Ağır,kum,3 Yaşlı İngilizler,14,false,ANKARA,Çok Bulutlu,0.53.52-0.53.80,,4 Boy,,3,Normal,209484,Handikap 16,40,2,K9K4K2K2K2K3,19.69,false,2100,LUKA MAGIC,450,"6,60",<nil>,3y d  e,50,0,6,0,5,941a5324485c4791306196e9a8088f78,MÜCAHİT BAYIR,05832ae173a2f5a496b09af3c5da158a,82,YÜKSEL GÖKTÜRK,9256,İSMET TEKİNALP,47,YÜKSEL GÖKTÜRK,2.18.32,13,5fa959707aae31d20f4ce29c139ccdf2,14:30,18,false,5,KG DB SK,<nil>,3
